"","Latin.name","Family","Origem..Fonte..Flora.do.Brasil.2020.","Brasil","order","family","pollinator.spp","group"
"37","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"38","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris aenea","Bees"
"39","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris analis","Bees"
"40","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris bicolor","Bees"
"41","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris caxiensis","Bees"
"42","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris decolorata","Bees"
"43","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris denudans","Bees"
"44","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris flavifrons","Bees"
"45","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris fuscata","Bees"
"46","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris inermis","Bees"
"47","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris longimana","Bees"
"48","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris maranhensis","Bees"
"49","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris mocsaryi","Bees"
"50","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris nitens","Bees"
"51","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris obsoleta","Bees"
"52","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris poecila","Bees"
"53","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris rhodoprocta","Bees"
"54","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris scopipes","Bees"
"55","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris spilopoda","Bees"
"56","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris sponsa","Bees"
"57","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris tarsata","Bees"
"58","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris trigonoides","Bees"
"59","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris varia","Bees"
"60","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Centris vittata","Bees"
"61","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis affinis","Bees"
"62","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis albofasciata","Bees"
"63","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis analis","Bees"
"64","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis bicolor","Bees"
"65","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis cockerelli","Bees"
"66","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis flava","Bees"
"67","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Epicharis xanthogastra","Bees"
"68","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Nannotrigona testaceicornis","Bees"
"69","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Partamona cupira","Bees"
"70","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Trigona spinipes","Bees"
"71","Malpighia emarginata DC.","Malpighiaceae","Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ","Exotica","Hymenoptera","Apidae","Xylocopa frontalis","Bees"
"72","Annona tomentosa R.E.Fr.","Annonaceae","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central","Nativa","Coleoptera","Scarabaeidae","Cyclocephala atricapilla","Other insects"
"73","Annona tomentosa R.E.Fr.","Annonaceae","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central","Nativa","Coleoptera","Scarabaeidae","Cyclocephala quatuordecumpunctata","Other insects"
"74","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"75","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Mesoplia bifrons","Bees"
"76","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Xylocopa ordinaria","Bees"
"77","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Augochloropsis notophos","Bees"
"78","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Dialictus sp.","Bees"
"79","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Vespidae","Polistes lanio","Other insects"
